player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4433091,L. Sutherland,29,5,12,3,6,2,3,0,1,1,1,0,2,0,0,15,Le Moyne,Villanova,FALSE,TRUE,2023-11-10,A
5108058,K. Cleary,29,2,8,0,2,2,3,1,5,6,2,2,1,2,2,6,Le Moyne,Villanova,FALSE,TRUE,2023-11-10,A
4702786,D. Jones Jr.,26,2,9,1,4,1,2,0,1,1,0,2,0,2,1,6,Le Moyne,Villanova,FALSE,TRUE,2023-11-10,A
4432965,M. DePersia,32,1,6,0,2,0,0,0,2,2,6,1,0,1,3,2,Le Moyne,Villanova,FALSE,TRUE,2023-11-10,A
4397701,N. McClure,16,1,3,1,3,0,0,1,1,2,3,0,1,0,2,3,Le Moyne,Villanova,FALSE,TRUE,2023-11-10,A
5177252,O. Owens,23,3,9,1,2,1,2,1,3,4,0,0,0,0,1,8,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
5177251,K. Thomas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
5177250,T. Mosquera,17,3,6,1,3,0,0,1,2,3,0,0,1,0,2,7,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
5177249,C.J. Moore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
5177247,AJ Dancler,4,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
5177246,I. Salter,22,4,5,2,3,0,0,0,1,1,2,0,0,0,2,10,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
NA,TEAM,NA,21,59,9,25,6,10,6,22,28,14,6,5,7,14,57,Le Moyne,Villanova,FALSE,FALSE,2023-11-10,A
