player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5108778,T. Hupstead,11,0,4,0,0,1,2,2,0,2,0,0,0,1,3,1,Maryland Eastern Shore,NA,FALSE,TRUE,2025-03-09,NA
5178891,D. Ellis,23,4,10,0,2,4,4,1,3,4,0,0,0,1,1,12,Maryland Eastern Shore,NA,FALSE,TRUE,2025-03-09,NA
5178892,T. Mack,11,2,5,1,4,0,0,0,2,2,0,0,0,1,1,5,Maryland Eastern Shore,NA,FALSE,TRUE,2025-03-09,NA
5108775,D. Johnson,18,1,3,0,1,1,1,2,2,4,4,0,0,2,2,3,Maryland Eastern Shore,NA,FALSE,TRUE,2025-03-09,NA
4898269,C. Davis,30,4,11,4,9,1,2,0,2,2,0,2,0,3,1,13,Maryland Eastern Shore,NA,FALSE,TRUE,2025-03-09,NA
5178889,M. Athian,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
5108776,V. Naboya,20,0,1,0,1,0,0,0,4,4,0,0,1,0,4,0,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
5106673,K. Okworogwo,9,0,4,0,1,0,0,1,1,2,0,0,3,2,2,0,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
5178894,I. Yaw,14,1,3,0,1,0,0,0,3,3,0,0,4,0,2,2,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
5178893,A. Wilson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
5178890,D. Claxton,18,1,2,1,1,0,0,0,3,3,4,0,0,1,1,3,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
5108777,T. Nnadozie,12,0,1,0,0,0,0,0,1,1,2,0,0,4,1,0,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
4898341,E. Wilson,28,1,7,1,3,7,7,4,2,6,1,1,0,1,0,10,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
NA,TEAM,NA,15,52,8,24,14,16,13,26,39,11,3,8,17,18,52,Maryland Eastern Shore,NA,FALSE,FALSE,2025-03-09,NA
