player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
5108912,D. Prim,30,2,9,0,3,4,4,0,4,4,4,3,0,1,2,8,Texas A&M-Corpus Christi,NA,FALSE,TRUE,2025-03-09,NA
5107293,S. Giwa,12,1,3,0,0,0,0,0,0,0,0,1,0,0,4,2,Texas A&M-Corpus Christi,NA,FALSE,TRUE,2025-03-09,NA
5176710,K. Parker,18,2,4,0,0,2,3,2,2,4,0,1,0,1,2,6,Texas A&M-Corpus Christi,NA,FALSE,TRUE,2025-03-09,NA
4897299,J. Roberts,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Texas A&M-Corpus Christi,NA,FALSE,TRUE,2025-03-09,NA
4431994,M. Humphrey,31,1,10,0,3,2,4,0,3,3,1,3,0,2,1,4,Texas A&M-Corpus Christi,NA,FALSE,TRUE,2025-03-09,NA
5108973,G. Clark,27,4,7,1,1,0,0,5,1,6,0,2,1,2,1,9,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
4897302,O. Dease,18,1,4,0,3,0,0,0,3,3,1,0,0,1,2,2,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
5176713,S. Jackson,11,2,3,0,0,0,0,0,3,3,0,1,0,1,0,4,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
5176712,T. Washington Jr.,21,3,6,1,3,1,3,0,1,1,0,0,0,1,4,8,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
5176708,D. Wright-Forde,21,4,11,2,4,0,0,0,2,2,1,1,0,1,1,10,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
5108903,L. Paul,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
NA,TEAM,NA,21,59,4,18,9,14,10,22,32,7,12,1,11,17,55,Texas A&M-Corpus Christi,NA,FALSE,FALSE,2025-03-09,NA
