game_id,date,opponent,location,team_score,opp_score,record
401575479,2023-11-07,Georgetown,A,57,94,0-1 (0-0)
401584357,2023-11-10,Villanova,A,57,83,0-2 (0-0)
401602691,2023-11-13,SUNY-Canton,H,105,46,1-2 (0-0)
401602692,2023-11-17,San Diego,A,71,80,1-3 (0-0)
401601135,2023-11-19,UC Santa Barbara,A,72,96,1-4 (0-0)
401594092,2023-11-21,Cal State Northridge,A,80,70,2-4 (0-0)
401575406,2023-11-24,Pacific,A,71,73,2-5 (0-0)
401602693,2023-11-29,Fredonia State,H,92,54,3-5 (0-0)
401584404,2023-12-05,Army,A,51,68,3-6 (0-0)
401574599,2023-12-09,Binghamton,A,79,91,3-7 (0-0)
401600289,2023-12-16,Dartmouth,H,80,54,4-7 (0-0)
401602694,2023-12-18,Houghton,H,92,72,5-7 (0-0)
401600441,2023-12-21,Penn State,A,55,72,5-8 (0-0)
401576165,2023-12-30,Fairfield,A,72,78,5-9 (0-0)
401589503,2024-01-06,Fairleigh Dickinson,A,74,63,6-9 (1-0)
401589504,2024-01-13,Merrimack,H,62,66,6-10 (1-1)
401589484,2024-01-15,Sacred Heart,H,73,80,6-11 (1-2)
401589505,2024-01-19,Central Connecticut,A,75,73,7-11 (2-2)
401589391,2024-01-21,St. Francis PA,H,94,57,8-11 (3-2)
401589496,2024-01-27,Long Island University,H,87,74,9-11 (4-2)
401589475,2024-02-01,Wagner,A,57,80,9-12 (4-3)
401589486,2024-02-03,Sacred Heart,A,81,87,9-13 (4-4)
401589458,2024-02-08,Stonehill,A,88,57,10-13 (5-4)
401589506,2024-02-10,Merrimack,A,50,66,10-14 (5-5)
401589507,2024-02-15,Central Connecticut,H,69,64,11-14 (6-5)
401589460,2024-02-17,Stonehill,H,75,67,12-14 (7-5)
401589501,2024-02-22,Long Island University,A,64,76,12-15 (7-6)
401589508,2024-02-24,Fairleigh Dickinson,H,58,68,12-16 (7-7)
401589480,2024-02-29,Wagner,H,70,56,13-16 (8-7)
401589401,2024-03-02,St. Francis PA,A,74,58,14-16 (9-7)
401625628,2024-03-06,Fairleigh Dickinson,H,82,61,15-16 (9-7)
401625633,2024-03-09,Merrimack,A,51,61,15-17 (9-7)
